Date,Chain,Postcode,Category,Total Units,Total cost per unit,Prices,,
01/01/2016,Nike,4215,Juniors,1,-22.97,10.00,,
01/01/2016,Adidas,4570,Accessories,63,4.88,5.40,,
01/01/2016,Nike,800,Kids,1,7.99,4.50,,
01/01/2016,Nike,2650,Womens,153,2.71,2.92,,
01/01/2016,Nike,3551,Juniors,24,9.04,10.34,,
01/01/2016,Nike,800,Kids,3,6.66,3.16,,
01/01/2016,Nike,2541,Juniors,27,9.06,10.16,,
01/01/2016,Nike,2116,Groceries,1674,1.00,1.02,,
01/01/2016,Nike,3148,Juniors,15,8.26,10.21,,
01/01/2016,Nike,2116,Kids,44,1.93,2.59,,
01/01/2016,Nike,6280,Kids,17,2.59,4.26,,
01/01/2016,Nike,4551,Kids,79,2.54,2.90,,
01/01/2016,Nike,2800,Juniors,10,5.50,8.30,,
01/01/2016,Nike,800,Kids,6,7.50,3.21,,
01/01/2016,Nike,800,Kids,16,3.99,1.75,,
01/01/2016,Adidas,2131,Juniors,38,5.81,6.54,,
01/01/2016,Nike,3148,Womens,26,7.96,9.02,,
01/01/2016,Nike,4551,Womens,5,5.41,10.90,,
01/01/2016,Nike,2617,Juniors,46,4.15,4.74,,
01/01/2016,Nike,4509,Juniors,25,9.08,10.14,,
01/01/2016,Nike,4119,Juniors,6,5.83,10.21,,
01/01/2016,Nike,2800,Shoes,48,9.01,9.54,,
01/01/2016,Adidas,3500,Womens,36,2.16,2.86,,
01/01/2016,Adidas,3280,Womens,8,10.00,13.13,,
01/01/2016,Nike,4558,Womens,1,5.01,30.00,,
01/01/2016,Nike,3148,Womens,6,6.84,11.00,,
01/01/2016,Adidas,3690,Juniors,14,1.29,3.07,,
01/01/2016,Nike,6330,Juniors,11,7.36,9.59,,
01/01/2016,Adidas,2750,Juniors,13,5.00,6.88,,
01/01/2016,Nike,4215,Womens,3,10.67,18.67,,
01/01/2016,Adidas,7018,Mens,1,-9.99,14.00,,
01/01/2016,Adidas,6030,Juniors,6,2.83,6.82,,
01/01/2016,Adidas,4305,Accessories,73,3.00,3.32,,
01/01/2016,Adidas,5043,Juniors,4,5.50,11.25,,
01/01/2016,Nike,4119,Womens,-1,42.97,20.00,,
01/01/2016,Adidas,3690,Womens,40,2.15,2.71,,
01/01/2016,Nike,2650,Juniors,20,6.40,7.53,,
01/01/2016,Adidas,4566,Home,109,1.11,1.32,,
01/01/2016,Adidas,4870,Juniors,9,3.78,6.25,,
01/01/2016,Nike,3550,Kids,50,2.74,3.18,,
01/01/2016,Nike,3066,Juniors,10,8.30,10.50,,
01/01/2016,Adidas,2158,Womens,-3,9.99,2.75,,
01/01/2016,Adidas,5607,Womens,22,1.66,2.64,,
01/01/2016,Nike,800,Kids,312,4.23,3.50,,
01/01/2016,Nike,2031,Juniors,18,5.56,6.74,,
01/01/2016,Nike,2015,Womens,18,6.86,8.00,,
01/01/2016,Adidas,2158,Juniors,12,5.67,7.38,,
01/01/2016,Nike,800,Kids,253,3.63,2.33,,
01/01/2016,Nike,2830,Womens,72,3.14,3.42,,
01/01/2016,Nike,800,Kids,271,5.94,3.31,,
01/01/2016,Nike,2116,Womens,2,20.00,30.00,,
01/01/2016,Nike,2020,Womens,22,4.68,5.59,,
01/01/2016,Nike,4053,Juniors,28,3.71,4.42,,
01/01/2016,Nike,800,Juniors,28,6.88,9.02,,
01/01/2016,Nike,2795,Womens,2,-4.49,5.25,,
01/01/2016,Nike,4215,Juniors,11,9.00,10.75,,
01/01/2016,Nike,4068,Accessories,81,15.94,16.18,,
01/01/2016,Nike,6330,Mens,2,11.00,20.50,,
01/01/2016,Nike,2116,Groceries,95,1.40,1.60,,
01/01/2016,Nike,4119,Juniors,7,1.29,3.96,,
01/01/2016,Adidas,4566,Kids,19,4.00,4.98,,
01/01/2016,Adidas,2790,Juniors,14,4.93,6.25,,
01/01/2016,Nike,2541,Home,16,11.62,12.75,,
01/01/2016,Nike,2830,Juniors,21,8.42,9.28,,
01/01/2016,Nike,2650,Womens,29,7.96,8.58,,
01/01/2016,Adidas,3134,Juniors,8,8.50,10.75,,
01/01/2016,Nike,3076,Womens,4,4.25,8.75,,
01/01/2016,Nike,800,Juniors,4,5.25,5.75,,
01/01/2016,Nike,4551,Juniors,27,6.89,7.55,,
01/01/2016,Nike,800,Juniors,26,3.31,3.22,,
01/01/2016,Nike,800,Juniors,4,12.99,10.50,,
01/01/2016,Adidas,7018,Juniors,7,3.79,6.32,,
01/01/2016,Nike,800,Juniors,36,7.38,3.94,,
01/01/2016,Nike,800,Juniors,39,16.43,9.43,,
01/01/2016,Nike,2116,Hosiery,35,0.50,1.00,,
01/01/2016,Adidas,7250,Juniors,6,8.33,11.25,,
01/01/2016,Nike,2617,Accessories,9,8.08,10.00,,
01/01/2016,Nike,2350,Womens,93,2.51,2.70,,
01/01/2016,Nike,800,Juniors,380,7.04,5.00,,
01/01/2016,Nike,3066,Juniors,48,7.01,7.36,,
01/01/2016,Adidas,4220,Womens,201,3.01,3.09,,
01/01/2016,Nike,4053,Womens,9,13.11,14.95,,
01/01/2016,Nike,4558,Womens,8,3.50,5.56,,
01/01/2016,Adidas,2158,Womens,14,4.32,5.48,,
01/01/2016,Nike,4068,Juniors,9,6.70,8.50,,
01/01/2016,Nike,2031,Kids,20,3.70,4.50,,
01/01/2016,Nike,800,Shoes,43,8.76,6.59,,
01/01/2016,Nike,2560,Juniors,7,8.57,10.79,,
01/01/2016,Nike,6330,Womens,6,2.67,5.25,,
01/01/2016,Nike,3066,Juniors,38,3.05,3.46,,
01/01/2016,Nike,2067,Mens,7,2.00,4.14,,
01/01/2016,Adidas,3630,Juniors,2,3.00,10.50,,
01/01/2016,Nike,3550,Womens,7,5.93,8.07,,
01/01/2016,Adidas,3977,Juniors,16,4.94,5.86,,
01/01/2016,Nike,4215,Juniors,12,4.92,6.15,,
01/01/2016,Nike,2795,Womens,11,1.00,2.34,,
01/01/2016,Nike,800,Shoes,107,6.01,4.46,,
01/01/2016,Adidas,4570,Juniors,-2,9.99,2.74,,
01/01/2016,Nike,800,Shoes,172,23.02,14.88,,
01/01/2016,Nike,800,Equipment,5,2.49,0.50,,
01/01/2016,Nike,2541,Juniors,42,6.42,6.76,,
01/01/2016,Adidas,5290,Juniors,11,4.82,6.12,,
01/01/2016,Adidas,4700,Juniors,5,3.40,6.25,,
01/01/2016,Nike,4558,Juniors,16,9.00,9.88,,
01/01/2016,Adidas,6010,Juniors,5,7.94,10.75,,
01/01/2016,Adidas,4740,Juniors,11,5.00,6.27,,
01/01/2016,Nike,4053,Womens,9,3.00,4.56,,
01/01/2016,Nike,3018,Kids,17,2.47,3.28,,
01/01/2016,Nike,3550,Mens,27,8.33,8.84,,
01/01/2016,Adidas,6052,Juniors,7,7.28,9.21,,
01/01/2016,Nike,4215,Mens,4,5.50,8.84,,
01/01/2016,Nike,3148,Womens,13,1.77,2.79,,
01/01/2016,Nike,2015,Juniors,8,4.62,6.25,,
01/01/2016,Nike,800,Equipment,6,4.91,2.50,,
01/01/2016,Nike,800,Equipment,662,3.67,2.16,,
01/01/2016,Nike,800,Hosiery,75,3.29,1.65,,
01/01/2016,Nike,2480,Juniors,15,6.00,6.86,,
01/01/2016,Adidas,6725,Juniors,-2,9.99,3.75,,
01/01/2016,Nike,2116,Juniors,13,8.15,9.10,,
01/01/2016,Nike,800,Hosiery,307,4.28,2.49,,
01/01/2016,Nike,6330,Womens,25,6.52,7.00,,
01/01/2016,Nike,800,Accessories,3,1.00,0.79,,
01/01/2016,Nike,800,Accessories,1,2.99,2.00,,
01/01/2016,Nike,2350,Womens,7,3.14,4.85,,
01/01/2016,Nike,6280,Juniors,2,0.95,6.90,,
01/01/2016,Adidas,6112,Juniors,9,4.94,6.25,,
01/01/2016,Nike,6280,Womens,10,6.10,7.25,,
01/01/2016,Adidas,7320,Juniors,8,5.75,7.19,,
01/01/2016,Adidas,4570,Juniors,23,7.65,8.15,,
01/01/2016,Nike,2480,Hosiery,23,0.50,1.00,,
01/01/2016,Adidas,6021,Juniors,11,9.09,10.09,,
01/01/2016,Nike,2541,Womens,3,6.33,10.00,,
01/01/2016,Nike,2541,Juniors,4,2.50,5.25,,
01/01/2016,Nike,3353,Juniors,3,6.67,10.34,,
01/01/2016,Adidas,6027,Womens,2,9.50,15.00,,
01/01/2016,Nike,6280,Womens,8,17.75,19.12,,
01/01/2016,Nike,2031,Juniors,32,7.36,7.70,,
01/01/2016,Nike,2560,Equipment,6,1.99,3.80,,
01/01/2016,Adidas,3179,Accessories,45,2.26,2.50,,
01/01/2016,Nike,2350,Juniors,17,3.10,3.73,,
01/01/2016,Nike,800,Accessories,4,1.75,0.50,,
01/01/2016,Nike,800,Accessories,42,4.51,3.14,,
01/01/2016,Nike,4215,Kids,14,2.86,3.62,,
01/01/2016,Nike,800,Accessories,239,5.72,5.06,,
01/01/2016,Adidas,6725,Juniors,4,7.50,10.09,,
01/01/2016,Nike,800,Accessories,219,2.90,1.79,,
01/01/2016,Adidas,2539,Juniors,23,5.65,6.10,,
01/01/2016,Nike,4068,Juniors,32,3.47,3.79,,
01/01/2016,Nike,3353,Juniors,23,3.08,3.53,,
01/01/2016,Nike,2650,Juniors,15,3.73,4.40,,
01/01/2016,Adidas,870,Juniors,8,5.25,6.51,,
01/01/2016,Adidas,2485,Juniors,6,6.33,8.00,,
01/01/2016,Nike,4053,Accessories,16,1.37,2.00,,
01/01/2016,Adidas,6725,Juniors,6,6.67,8.34,,
01/01/2016,Adidas,7250,Womens,4,7.50,10.00,,
01/01/2016,Nike,800,Home,51,4.45,4.29,,
01/01/2016,Adidas,5343,Womens,10,1.80,2.80,,
01/01/2016,Nike,3551,Mens,-1,14.99,5.00,,
01/01/2016,Nike,800,Home,2,12.49,6.00,,
01/01/2016,Nike,800,Home,373,3.22,2.64,,
01/01/2016,Adidas,3030,Home,81,1.23,1.35,,
01/01/2016,Adidas,2120,Juniors,5,4.59,6.50,,
01/01/2016,Adidas,4680,Womens,1,8.02,17.50,,
01/01/2016,Nike,3076,Equipment,18,2.98,3.50,,
01/01/2016,Adidas,2131,Accessories,105,4.44,4.53,,
01/01/2016,Adidas,3429,Kids,19,3.47,3.95,,
01/01/2016,Adidas,3630,Juniors,17,5.41,5.94,,
01/01/2016,Adidas,870,Juniors,4,8.50,10.75,,
01/01/2016,Nike,800,Home,1136,1.91,1.42,,
01/01/2016,Adidas,3280,Juniors,3,7.00,10.00,,
01/01/2016,Nike,6280,Womens,5,8.20,10.00,,
01/01/2016,Nike,800,Home,937,3.64,2.73,,
01/01/2016,Nike,2795,Equipment,27,1.33,1.66,,
01/01/2016,Nike,800,Groceries,4,0.49,1.86,,
01/01/2016,Nike,3076,Juniors,15,6.93,7.50,,
01/01/2016,Adidas,5082,Womens,4,11.25,13.38,,
01/01/2016,Nike,4215,Kids,-1,19.99,11.50,,
01/01/2016,Nike,800,Groceries,224,1.63,1.25,,
01/01/2016,Nike,800,Groceries,513,1.45,1.12,,
01/01/2016,Adidas,3630,Womens,46,4.37,4.55,,
01/01/2016,Adidas,3630,Accessories,73,6.84,6.95,,
01/01/2016,Nike,4509,Juniors,7,5.29,6.47,,
01/01/2016,Nike,2350,Womens,9,18.89,19.81,,
01/01/2016,Nike,800,Groceries,986,1.07,0.82,,
01/01/2016,Nike,4068,Groceries,317,0.61,0.64,,
01/01/2016,Nike,2067,Juniors,2,6.00,10.00,,
01/01/2016,Nike,2617,Womens,4,3.00,5.00,,
01/01/2016,Nike,3148,Womens,2,3.26,7.26,,
01/01/2016,Adidas,6450,Juniors,1,-2.99,5.00,,
01/01/2016,Adidas,3500,Accessories,84,3.61,3.71,,
01/01/2016,Adidas,2750,Groceries,27,1.18,1.46,,
01/01/2016,Nike,2350,Juniors,4,5.50,7.38,,
01/01/2016,Adidas,2478,Juniors,1,3.00,10.50,,
01/01/2016,Nike,2650,Accessories,1,7.00,14.50,,
01/01/2016,Adidas,2750,Juniors,1,3.00,10.50,,
01/01/2016,Nike,2800,Kids,3,2.00,4.50,,
01/01/2016,Adidas,4802,Juniors,1,3.00,10.50,,
01/01/2016,Adidas,6021,Womens,3,4.33,6.83,,
01/01/2016,Adidas,5043,Womens,20,2.26,2.63,,
01/01/2016,Adidas,3134,Groceries,19,2.87,3.26,,
01/01/2016,Adidas,2141,Juniors,15,5.90,6.38,,
01/01/2016,Adidas,4740,Kids,19,2.95,3.33,,
01/01/2016,Adidas,4220,Home,26,1.15,1.43,,
01/01/2016,Adidas,4703,Womens,3,10.00,12.33,,
01/01/2016,Adidas,2478,Juniors,15,8.68,9.14,,
01/01/2016,Adidas,4680,Juniors,5,5.00,6.35,,
01/01/2016,Adidas,5290,Home,11,1.00,1.60,,
01/01/2016,Nike,2617,Juniors,1,1.00,7.50,,
01/01/2016,Adidas,6112,Juniors,2,1.00,4.25,,
01/01/2016,Adidas,2131,Juniors,22,4.99,5.28,,
01/01/2016,Nike,2617,Accessories,159,3.72,3.76,,
01/01/2016,Adidas,6021,Juniors,5,3.30,4.55,,
01/01/2016,Nike,2020,Womens,-1,9.99,3.75,,
01/01/2016,Nike,2067,Womens,11,4.27,4.82,,
01/01/2016,Nike,2020,Mens,4,11.50,13.00,,
01/01/2016,Adidas,2064,Juniors,2,7.00,10.00,,
01/01/2016,Nike,3018,Juniors,8,4.88,5.63,,
01/01/2016,Nike,4068,Juniors,1,1.00,7.00,,
01/01/2016,Adidas,4220,Juniors,5,5.00,6.20,,
01/01/2016,Adidas,4566,Juniors,2,10.00,13.00,,
01/01/2016,Adidas,4740,Juniors,9,6.11,6.78,,
01/01/2016,Adidas,5343,Juniors,3,5.33,7.33,,
01/01/2016,Adidas,6021,Womens,1,1.00,7.00,,
01/01/2016,Nike,2067,Juniors,1,-2.99,3.00,,
01/01/2016,Adidas,5607,Juniors,2,4.51,7.51,,
01/01/2016,Adidas,6021,Juniors,1,3.00,8.90,,
01/01/2016,Adidas,4700,Juniors,9,6.21,6.86,,
01/01/2016,Adidas,2478,Juniors,5,8.60,9.75,,
01/01/2016,Adidas,7250,Kids,4,4.00,5.40,,
01/01/2016,Nike,2650,Womens,8,8.38,9.08,,
01/01/2016,Adidas,4012,Womens,2,3.00,5.75,,
01/01/2016,Nike,4053,Kids,3,2.67,4.50,,
01/01/2016,Adidas,2141,Juniors,3,9.00,10.75,,
01/01/2016,Nike,2541,Juniors,7,2.14,2.89,,
01/01/2016,Adidas,4305,Groceries,17,3.03,3.34,,
01/01/2016,Nike,4119,Home,6,2.50,3.36,,
01/01/2016,Adidas,5082,Kids,3,3.00,4.68,,
01/01/2016,Adidas,6010,Womens,7,14.28,15.00,,
01/01/2016,Adidas,870,Womens,3,13.33,15.00,,
01/01/2016,Nike,4053,Juniors,24,3.33,3.54,,
01/01/2016,Nike,2795,Juniors,2,7.50,10.00,,
01/01/2016,Adidas,3429,Womens,1,5.00,10.00,,
01/01/2016,Adidas,3500,Womens,3,8.33,10.00,,
01/01/2016,Nike,3551,Juniors,2,7.50,10.00,,
01/01/2016,Adidas,6450,Womens,1,10.00,15.00,,
01/01/2016,Adidas,7018,Womens,1,5.00,10.00,,
01/01/2016,Nike,4068,Accessories,-1,5.99,1.00,,
01/01/2016,Nike,2067,Kids,18,0.98,1.25,,
01/01/2016,Nike,4119,Groceries,4,0.67,1.87,,
01/01/2016,Nike,2650,Juniors,27,8.40,8.58,,
01/01/2016,Nike,6330,Kids,19,2.53,2.78,,
01/01/2016,Nike,4509,Womens,13,7.18,7.54,,
01/01/2016,Adidas,4655,Juniors,12,9.66,10.04,,
01/01/2016,Adidas,3429,Juniors,1,1.00,5.50,,
01/01/2016,Nike,2830,Kids,35,3.67,3.80,,
01/01/2016,Adidas,6027,Juniors,16,5.56,5.83,,
01/01/2016,Adidas,3280,Juniors,8,5.74,6.28,,
01/01/2016,Adidas,2064,Juniors,13,5.77,6.10,,
01/01/2016,Adidas,2485,Home,5,1.40,2.25,,
01/01/2016,Nike,2617,Juniors,1,1.82,6.00,,
01/01/2016,Adidas,5082,Juniors,6,7.66,8.33,,
01/01/2016,Nike,2560,Womens,11,3.18,3.54,,
01/01/2016,Nike,2800,Womens,2,3.00,5.00,,
01/01/2016,Adidas,3429,Juniors,5,3.80,4.60,,
01/01/2016,Nike,4215,Home,7,2.00,2.57,,
01/01/2016,Nike,4509,Mens,1,1.00,5.00,,
01/01/2016,Nike,4558,Womens,1,1.00,5.00,,
01/01/2016,Adidas,4655,Womens,4,3.00,4.00,,
01/01/2016,Adidas,3690,Juniors,-1,7.99,4.00,,
01/01/2016,Nike,4119,Juniors,-1,7.99,4.00,,
01/01/2016,Adidas,3131,Groceries,9,4.22,4.64,,
01/01/2016,Adidas,2141,Juniors,1,5.00,8.75,,
01/01/2016,Adidas,4012,Shoes,16,8.29,8.52,,
01/01/2016,Adidas,4680,Womens,3,3.00,4.20,,
01/01/2016,Adidas,7018,Groceries,3,0.17,1.37,,
01/01/2016,Adidas,6021,Womens,6,11.16,11.75,,
01/01/2016,Nike,2650,Juniors,5,10.00,10.70,,
01/01/2016,Nike,2541,Womens,7,8.86,9.36,,
01/01/2016,Adidas,3134,Juniors,1,3.00,6.50,,
01/01/2016,Nike,3353,Juniors,1,7.00,10.50,,
01/01/2016,Adidas,6052,Home,5,1.10,1.80,,
01/01/2016,Adidas,5082,Groceries,16,2.50,2.71,,
01/01/2016,Nike,3551,Juniors,14,6.28,6.52,,
01/01/2016,Nike,3353,Womens,12,8.25,8.50,,
01/01/2016,Adidas,6450,Groceries,17,0.95,1.13,,
01/01/2016,Nike,2015,Womens,8,8.12,8.50,,
01/01/2016,Adidas,5343,Juniors,2,8.00,9.51,,
01/01/2016,Nike,2560,Juniors,1,7.00,10.00,,
01/01/2016,Nike,3076,Juniors,1,7.00,10.00,,
01/01/2016,Nike,3148,Juniors,1,7.00,10.00,,
01/01/2016,Adidas,3931,Womens,3,9.67,10.67,,
01/01/2016,Adidas,4566,Womens,1,1.00,4.00,,
01/01/2016,Adidas,5169,Womens,1,3.00,6.00,,
01/01/2016,Adidas,5168,Groceries,11,2.19,2.45,,
01/01/2016,Nike,2800,Kids,1,2.00,4.86,,
01/01/2016,Adidas,5290,Womens,16,1.81,1.98,,
01/01/2016,Adidas,6109,Juniors,15,6.07,6.25,,
01/01/2016,Adidas,6010,Womens,1,3.00,5.75,,
01/01/2016,Nike,3353,Womens,1,0.01,2.75,,
01/01/2016,Adidas,5043,Groceries,9,4.78,5.08,,
01/01/2016,Adidas,3931,Accessories,50,5.53,5.58,,
01/01/2016,Adidas,3977,Groceries,14,1.27,1.45,,
01/01/2016,Nike,2020,Juniors,17,7.29,7.44,,
01/01/2016,Nike,2116,Womens,3,7.67,8.50,,
01/01/2016,Nike,2800,Womens,1,3.00,5.50,,
01/01/2016,Nike,4509,Womens,7,3.00,3.36,,
01/01/2016,Adidas,4802,Groceries,22,2.90,3.01,,
01/01/2016,Adidas,4012,Kids,10,4.20,4.44,,
01/01/2016,Nike,4558,Womens,7,6.71,7.05,,
01/01/2016,Adidas,2750,Juniors,7,10.42,10.75,,
01/01/2016,Adidas,2609,Groceries,32,1.83,1.90,,
01/01/2016,Adidas,3630,Kids,1,1.00,3.25,,
01/01/2016,Adidas,3690,Kids,1,1.00,3.25,,
01/01/2016,Adidas,4740,Womens,2,7.50,8.63,,
01/01/2016,Nike,3076,Mens,8,1.00,1.28,,
01/01/2016,Adidas,3131,Kids,2,1.00,2.11,,
01/01/2016,Adidas,5043,Juniors,5,10.00,10.42,,
01/01/2016,Adidas,4305,Juniors,4,8.50,9.00,,
01/01/2016,Nike,2031,Juniors,3,9.33,10.00,,
01/01/2016,Adidas,2120,Juniors,2,6.00,7.00,,
01/01/2016,Nike,2480,Mens,1,3.00,5.00,,
01/01/2016,Adidas,2750,Womens,1,7.00,9.00,,
01/01/2016,Nike,3018,Equipment,2,1.00,2.00,,
01/01/2016,Adidas,3030,Womens,1,3.00,5.00,,
01/01/2016,Nike,4068,Kids,1,5.00,7.00,,
01/01/2016,Nike,4215,Equipment,4,3.00,3.50,,
01/01/2016,Adidas,4570,Womens,1,5.00,7.00,,
01/01/2016,Adidas,4802,Womens,1,7.00,9.00,,
01/01/2016,Nike,6330,Juniors,1,3.00,5.00,,
01/01/2016,Adidas,2750,Kids,2,3.51,4.51,,
01/01/2016,Adidas,4870,Shoes,13,6.69,6.82,,
01/01/2016,Nike,4053,Mens,1,1.00,2.74,,
01/01/2016,Nike,3076,Womens,8,10.28,10.50,,
01/01/2016,Adidas,2485,Shoes,13,8.46,8.59,,
01/01/2016,Nike,3551,Juniors,9,5.55,5.74,,
01/01/2016,Adidas,3931,Kids,2,1.00,1.80,,
01/01/2016,Adidas,5343,Groceries,-1,3.99,2.40,,
01/01/2016,Adidas,3630,Juniors,3,11.00,11.52,,
01/01/2016,Adidas,6010,Juniors,6,12.50,12.76,,
01/01/2016,Adidas,7320,Juniors,1,0.99,2.50,,
01/01/2016,Adidas,3931,Juniors,2,10.00,10.76,,
01/01/2016,Adidas,7010,Juniors,2,10.00,10.76,,
01/01/2016,Adidas,2131,Home,2,1.50,2.25,,
01/01/2016,Adidas,2539,Juniors,1,1.00,2.50,,
01/01/2016,Adidas,3131,Juniors,-1,3.00,1.50,,
01/01/2016,Nike,4215,Kids,8,2.25,2.44,,
01/01/2016,Adidas,6030,Womens,1,5.00,6.50,,
01/01/2016,Adidas,7010,Juniors,3,5.00,5.50,,
01/01/2016,Adidas,7250,Womens,1,5.00,6.50,,
01/01/2016,Adidas,7320,Womens,5,6.20,6.50,,
01/01/2016,Nike,6280,Juniors,10,10.50,10.65,,
01/01/2016,Adidas,3500,Kids,1,4.00,5.40,,
01/01/2016,Adidas,4570,Kids,1,4.00,5.40,,
01/01/2016,Adidas,2485,Womens,1,1.00,2.25,,
01/01/2016,Adidas,7010,Juniors,1,3.00,4.25,,
01/01/2016,Nike,6330,Mens,-1,5.99,4.75,,
01/01/2016,Nike,2541,Mens,3,2.33,2.74,,
01/01/2016,Adidas,3500,Groceries,10,2.05,2.17,,
01/01/2016,Nike,4551,Womens,4,8.75,9.00,,
01/01/2016,Nike,3148,Kids,5,2.00,2.20,,
01/01/2016,Nike,3148,Equipment,2,3.00,3.50,,
01/01/2016,Nike,3551,Shoes,1,1.00,2.00,,
01/01/2016,Nike,4119,Kids,2,4.00,4.50,,
